CS:GO Weapon Case 152,416 $0.05
eSports 2013 Case 99,926 $0.04
Operation Bravo Case 9,936 $0.61
AUG | Wings (Factory New) 7,136 $0.11
FAMAS | Doomkitty (Minimal Wear) 6,271 $0.08
SG 553 | Ultraviolet (Field-Tested) 5,956 $0.10
M4A4 | Faded Zebra (Field-Tested) 5,779 $0.07
MAG-7 | Sand Dune (Field-Tested) 5,619 $0.05
Sawed-Off | Irradiated Alert (Field-Tested) 5,605 $0.05
MAC-10 | Tornado (Field-Tested) 5,600 $0.04
FAMAS | Contrast Spray (Field-Tested) 5,599 $0.04
MAG-7 | Irradiated Alert (Field-Tested) 5,599 $0.05
XM1014 | Grassland (Field-Tested) 5,596 $0.04
PP-Bizon | Forest Leaves (Field-Tested) 5,589 $0.05
Nova | Walnut (Field-Tested) 5,588 $0.05
PP-Bizon | Irradiated Alert (Field-Tested) 5,308 $0.03
SG 553 | Tornado (Field-Tested) 5,131 $0.05
Five-SeveN | Jungle (Field-Tested) 5,060 $0.05
Nova | Forest Leaves (Field-Tested) 5,045 $0.04
SSG 08 | Lichen Dashed (Field-Tested) 4,721 $0.05
XM1014 | Urban Perforated (Field-Tested) 4,117 $0.07
UMP-45 | Caramel (Field-Tested) 4,028 $0.05
MP7 | Skulls (Field-Tested) 3,811 $0.09
MAG-7 | Memento (Factory New) 3,770 $0.08
MAC-10 | Urban DDPAT (Field-Tested) 3,740 $0.07
CS:GO Weapon Case 2 3,686 $0.80
MAG-7 | Memento (Minimal Wear) 3,385 $0.07
MP7 | Skulls (Minimal Wear) 3,302 $0.10
XM1014 | Grassland (Battle-Scarred) 1,626 $0.04
MAG-7 | Irradiated Alert (Minimal Wear) 1,617 $0.05
MAG-7 | Sand Dune (Battle-Scarred) 1,616 $0.04
MAG-7 | Sand Dune (Minimal Wear) 1,610 $0.05
SG 553 | Ultraviolet (Minimal Wear) 1,596 $0.08
XM1014 | Grassland (Minimal Wear) 1,581 $0.05
SG 553 | Ultraviolet (Battle-Scarred) 1,541 $0.10
MAG-7 | Irradiated Alert (Battle-Scarred) 1,512 $0.04
MAC-10 | Tornado (Battle-Scarred) 1,413 $0.05
FAMAS | Contrast Spray (Minimal Wear) 1,408 $0.05
Sawed-Off | Irradiated Alert (Minimal Wear) 1,400 $0.05
XM1014 | Jungle (Field-Tested) 1,396 $0.05
MAC-10 | Tornado (Minimal Wear) 1,390 $0.03
PP-Bizon | Forest Leaves (Minimal Wear) 1,383 $0.05
Sawed-Off | Irradiated Alert (Battle-Scarred) 1,368 $0.05
FAMAS | Contrast Spray (Battle-Scarred) 1,331 $0.04
Nova | Walnut (Minimal Wear) 1,323 $0.05
PP-Bizon | Forest Leaves (Battle-Scarred) 1,320 $0.04
PP-Bizon | Irradiated Alert (Battle-Scarred) 1,278 $0.04
Five-SeveN | Jungle (Battle-Scarred) 1,261 $0.03
Nova | Forest Leaves (Minimal Wear) 1,260 $0.04
PP-Bizon | Irradiated Alert (Minimal Wear) 1,252 $0.05
M4A4 | Faded Zebra (Minimal Wear) 1,245 $0.07
Nova | Walnut (Battle-Scarred) 1,234 $0.05
AUG | Wings (Minimal Wear) 1,214 $0.10
Five-SeveN | Jungle (Minimal Wear) 1,208 $0.06
Nova | Forest Leaves (Battle-Scarred) 1,207 $0.04
SG 553 | Tornado (Minimal Wear) 1,187 $0.05
SSG 08 | Lichen Dashed (Minimal Wear) 1,167 $0.05
SSG 08 | Lichen Dashed (Battle-Scarred) 1,137 $0.06
SG 553 | Tornado (Battle-Scarred) 1,126 $0.05
XM1014 | Urban Perforated (Battle-Scarred) 1,121 $0.07
M4A4 | Faded Zebra (Battle-Scarred) 1,092 $0.09
Five-SeveN | Anodized Gunmetal (Factory New) 1,071 $0.09
Glock-18 | Dragon Tattoo (Factory New) 1,040 $0.78
SG 553 | Ultraviolet (Well-Worn) 1,021 $0.10
M4A4 | Tornado (Field-Tested) 1,014 $0.08
XM1014 | Urban Perforated (Minimal Wear) 1,012 $0.07
MP7 | Groundwater (Field-Tested) 993 $0.04
MAG-7 | Sand Dune (Well-Worn) 972 $0.06
G3SG1 | Arctic Camo (Field-Tested) 969 $0.11
UMP-45 | Caramel (Battle-Scarred) 969 $0.05
M249 | Jungle DDPAT (Field-Tested) 961 $0.04
MAC-10 | Urban DDPAT (Battle-Scarred) 955 $0.08
MAC-10 | Urban DDPAT (Minimal Wear) 941 $0.09
XM1014 | Grassland (Well-Worn) 937 $0.07
M4A4 | Jungle Tiger (Field-Tested) 924 $0.09
UMP-45 | Caramel (Minimal Wear) 923 $0.07
P250 | Splash (Minimal Wear) 919 $0.57
Sawed-Off | Irradiated Alert (Well-Worn) 914 $0.03
FAMAS | Doomkitty (Field-Tested) 890 $0.08
MAC-10 | Tornado (Well-Worn) 877 $0.05
M4A4 | Desert Storm (Field-Tested) 871 $0.17
M4A1-S | Dark Water (Minimal Wear) 868 $0.51
MAG-7 | Irradiated Alert (Well-Worn) 845 $0.04
M249 | Blizzard Marbleized (Field-Tested) 835 $0.08
Tec-9 | Tornado (Field-Tested) 801 $0.04
Five-SeveN | Jungle (Well-Worn) 797 $0.04
SG 553 | Tornado (Well-Worn) 789 $0.05
PP-Bizon | Forest Leaves (Well-Worn) 785 $0.05
Nova | Forest Leaves (Well-Worn) 778 $0.04
StatTrak™ SG 553 | Ultraviolet (Field-Tested) 772 $0.43
M4A4 | Faded Zebra (Well-Worn) 768 $0.08
AK-47 | Jungle Spray (Field-Tested) 761 $0.49
SSG 08 | Lichen Dashed (Well-Worn) 758 $0.05
M4A1-S | Dark Water (Field-Tested) 756 $0.51
Nova | Tempest (Minimal Wear) 752 $0.13
FAMAS | Contrast Spray (Well-Worn) 751 $0.05
PP-Bizon | Irradiated Alert (Well-Worn) 722 $0.04
PP-Bizon | Carbon Fiber (Factory New) 716 $0.51
MP9 | Dry Season (Field-Tested) 709 $0.04
Dual Berettas | Black Limba (Field-Tested) 707 $0.14
Galil AR | Winter Forest (Field-Tested) 700 $0.09
P250 | Gunsmoke (Field-Tested) 695 $0.16
SCAR-20 | Palm (Field-Tested) 695 $0.16
Nova | Walnut (Well-Worn) 671 $0.04
G3SG1 | Demeter (Field-Tested) 644 $0.10
StatTrak™ AUG | Wings (Factory New) 643 $0.85
SG 553 | Wave Spray (Field-Tested) 641 $0.14
USP-S | Dark Water (Minimal Wear) 622 $0.55
Operation Bravo Pass 617 $3.18
P2000 | Grassland Leaves (Field-Tested) 595 $0.12
AK-47 | Predator (Field-Tested) 594 $0.54
MAC-10 | Urban DDPAT (Well-Worn) 590 $0.10
UMP-45 | Caramel (Well-Worn) 565 $0.07
UMP-45 | Fallout Warning (Field-Tested) 558 $0.17
P90 | Fallout Warning (Field-Tested) 556 $0.31
Galil AR | Shattered (Field-Tested) 551 $0.10
Galil AR | Orange DDPAT (Field-Tested) 551 $0.54
Sawed-Off | Orange DDPAT (Field-Tested) 543 $0.55
Operation Payback Pass 540 $2.30
XM1014 | Fallout Warning (Field-Tested) 522 $0.16
CS:GO Case Key 512 $2.70
USP-S | Dark Water (Field-Tested) 510 $0.53
XM1014 | Urban Perforated (Well-Worn) 488 $0.07
UMP-45 | Bone Pile (Field-Tested) 444 $0.11
StatTrak™ MP7 | Skulls (Field-Tested) 437 $0.43
StatTrak™ FAMAS | Doomkitty (Minimal Wear) 425 $0.97
Five-SeveN | Candy Apple (Minimal Wear) 410 $0.32
MAG-7 | Memento (Field-Tested) 405 $0.16
StatTrak™ MAG-7 | Memento (Minimal Wear) 393 $0.43
UMP-45 | Bone Pile (Minimal Wear) 377 $0.16
StatTrak™ M4A4 | Faded Zebra (Field-Tested) 339 $1.72
StatTrak™ MAG-7 | Memento (Factory New) 335 $0.62
Tec-9 | Blue Titanium (Factory New) 330 $0.10
Desert Eagle | Hypnotic (Factory New) 313 $2.49
